nome,logradouro_pretty,d0,id
ABRAAO MORAIS,Avenida Professor Abraão de Morais,2024-10-01,1
RICARDO JAFET,Avenida Doutor Ricardo Jafet,2024-10-01,2
SAPETUBA,Rua Sapetuba,2024-10-01,3
BANDEIRAS,Ponte das Bandeiras,2024-09-01,4
ESCOLA POLITECNICA,Avenida Escola Politécnica,2024-09-01,5
TEOTONIO VILELA,Avenida Senador Teotônio Vilela,2024-09-01,6
TIRADENTES,Avenida Tiradentes,2024-09-01,7
ARICANDUVA,Avenida Aricanduva,2024-07-01,8
ARICANDUVA EXPRESSA,Avenida Aricanduva (Expressa),2024-07-01,9
CALIM EID,Avenida Calim Eid,2024-07-01,10
CARVALHO PINTO,Avenida Governador Carvalho Pinto,2024-07-01,11
HELDER CAMARA,Avenida Dom Helder Câmara,2024-07-01,12
INAJAR SOUZA,Avenida Inajar de Souza,2024-07-01,13
MARTINELLI,Avenida Comendador Martinelli,2024-07-01,14
SALIM FARAH MALUF,Avenida Salim Farah Maluf,2024-07-01,15
SALIM FARAH MALUF EXPRESSA,Avenida Salim Farah Maluf (Expressa),2024-07-01,16
VERGUEIRO,Rua Vergueiro,2024-07-01,17
ALIOMAR BALEEIRO,Viaduto Ministro Aliomar Baleeiro,2024-06-01,18
CURSINO,Avenida do Cursino,2024-06-01,19
ELEVADO JOAO GOULART,Elevado Presidente João Goulart,2024-06-01,20
LUIZ IGNACIO ANHAIA MELLO,Avenida Professor Luiz Ignácio Anhaia Mello,2024-06-01,21
MARIA MALUF,Complexo Viário Maria Maluf,2024-06-01,22
TANCREDO NEVES,Avenida Presidente Tancredo Neves,2024-06-01,23
BRAZ LEME,Avenida Bráz Leme,2024-05-01,24
ELISEU ALMEIDA,Avenida Eliseu de Almeida,2024-05-01,25
GASTAO VIDIGAL,Avenida Doutor Gastão Vidigal,2024-05-01,26
AYRTON SENNA,Complexo Viário Ayrton Senna,2024-04-01,27
EULALIA,Rua Santa Eulália,2024-04-01,28
WASHINGTON LUIS,Avenida Washington Luís,2024-04-01,29
JOAO PAULO II,Túnel São João Paulo II,2024-03-01,30
ESTADO,Avenida do Estado,2023-12-01,31
FARIA LIMA,Avenida Brigadeiro Faria Lima,2023-12-01,32
JACU PESSEGO,Avenida Jacu-Pêssego,2023-12-01,33
LUIZ DUMONT VILLARES,Avenida Luiz Dumont Villares,2023-12-01,34
ZAKI NARCHI,Avenida Zaki Narchi,2023-12-01,35
MIGUEL YUNES,Rua Miguel Yunes,2023-11-01,36
NACOES UNIDAS,Avenida das Nações Unidas,2023-11-01,37
PAULO VI,Avenida Paulo VI,2023-11-01,38
SUMARE,Avenida Sumaré,2023-11-01,39
MOREIRA GUIMARAES,Avenida Moreira Guimarães,2023-10-01,40
PRESTES MAIA,Avenida Prestes Maia,2023-10-01,41
RUBEM BERTA,Avenida Rubem Berta,2023-10-01,42
SANTOS DUMONT,Avenida Santos Dumont,2023-10-01,43
AFONSO D ESCRAGNOLE TAUNAY,Avenida Afonso D'Escragnole Taunay,2022-10-01,44
BANDEIRANTES,Avenida dos Bandeirantes,2022-10-01,45
VINTE E TRES MAIO,Avenida 23 de Maio,2022-01-01,46
